Data Source,Variable,Method,Unit,LOQ,Nisan 22,Haziran 22,Eylül 22,Aralık 22,Mart 23,Haziran 23,Eylül 23,Aralık 23,Mart 24,Haziran 24,Eylül 24
"Çınar Çevre Lab,",İletkenlik ,TS 9748 EN 27888,µS/cm,-,374,310,348,342,311,354,288,365,299,370,377
"Çınar Çevre Lab,","Orto Fosfat, ",SM 4500 P-E,mg/L,"<0,01","<0,01","0,0230","<0,01","0,0220","<0,01","<0,01","0,0300","0,0260","0,0270","<0,01","0,025"
"Çınar Çevre Lab,","Toplam Fosfor, ","TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,005","0,0290","0,0323","0,0240","0,0187","0,0229","0,0253","0,0278","<0,005","0,0116","0,0176","0,0265"
"Çınar Çevre Lab,",Alkalinite Tayini ,SM 2320 B,mg/L,<2,"177,0","170,4","186,2","168,2","180,8","168,2","178,2","178,4","181,6","171,0","170,6"
"Çınar Çevre Lab,",Amonyum Azotu Tayini ,SM 4500-NH₃ B-F,mg/L,"<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016"
"Çınar Çevre Lab,",Askıda Katı Madde Tayini ,SM 2540 D,mg AKM/L,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
"Çınar Çevre Lab,",Biyokimyasal Oksijen İhtiyacı (BOİ5) Tayini ,SM 5210 B,mg/L,<3,<3,<3,<3,<3,"<3,0",<3,<3,<3,<3,<3,<3
"Çınar Çevre Lab,",Çözünmüş Oksijen-Oksijen Doygunluğu (Çözünmüş Oksijen) ,ASTM D 888,mg/L,-,"7,38","7,33","7,44","8,14","7,81","8,15","8,19","8,24","7,89","7,79","7,57"
"Çınar Çevre Lab,",Çözünmüş Oksijen-Oksijen Doygunluğu (Oksijen Doygunluğu) ,ASTM D 888,%,-,80,90,91,91,88,93,95,93,88,92,"90,9"
"Çınar Çevre Lab,",Florür (F-) ,SM 4110 B ,mg/L,"<0,1","0,115","<0,1","<0,1","<0,1","0,1258","<0,1","<0,1","<0,1","<0,1","<0,1","<0,1"
"Çınar Çevre Lab,",Karbonatların Tayini (Bikarbonat) ,SM 2320 B,mg/L,<2,177,160,"174,2","162,6","173,6","155,4","164,6",172,"161,6","164,6",167
